State,Month,MonthNum,Accidents
Vasai Virar,December,12,30
Vijayawada,January,1,139
Vijayawada,February,2,129
Vijayawada,March,3,133
Vijayawada,April,4,107
Vijayawada,May,5,156
Vijayawada,June,6,124
Vijayawada,July,7,125
Vijayawada,August,8,128
Vijayawada,September,9,115
Vijayawada,October,10,123
Vijayawada,November,11,132
Vijayawada,December,12,111
Vishakhapatnam,January,1,79
Vishakhapatnam,February,2,92
Vishakhapatnam,March,3,102
Vishakhapatnam,April,4,103
Vishakhapatnam,May,5,114
Vishakhapatnam,June,6,109
Vishakhapatnam,July,7,106
Vishakhapatnam,August,8,116
Vishakhapatnam,September,9,118
Vishakhapatnam,October,10,124
Vishakhapatnam,November,11,138
Vishakhapatnam,December,12,92
Total (Cities),January,1,6135
Total (Cities),February,2,5698
Total (Cities),March,3,5835
Total (Cities),April,4,5457
Total (Cities),May,5,5803
Total (Cities),June,6,5759
Total (Cities),July,7,5735
Total (Cities),August,8,5893
Total (Cities),September,9,5917
Total (Cities),October,10,6043
Total (Cities),November,11,5748
Total (Cities),December,12,5887
