State,Month,MonthNum,Accidents
Nagaland,June,6,3
Nagaland,July,7,4
Nagaland,August,8,5
Nagaland,September,9,4
Nagaland,October,10,3
Nagaland,November,11,0
Nagaland,December,12,3
Odisha,January,1,1199
Odisha,February,2,1076
Odisha,March,3,1052
Odisha,April,4,919
Odisha,May,5,1037
Odisha,June,6,928
Odisha,July,7,906
Odisha,August,8,870
Odisha,September,9,889
Odisha,October,10,967
Odisha,November,11,1004
Odisha,December,12,1142
Punjab,January,1,463
Punjab,February,2,499
Punjab,March,3,492
Punjab,April,4,526
Punjab,May,5,568
Punjab,June,6,547
Punjab,July,7,454
Punjab,August,8,479
Punjab,September,9,509
Punjab,October,10,579
Punjab,November,11,618
Punjab,December,12,542
Rajasthan,January,1,2208
Rajasthan,February,2,1985
Rajasthan,March,3,2079
Rajasthan,April,4,2047
Rajasthan,May,5,2241
Rajasthan,June,6,2086
Rajasthan,July,7,2074
Rajasthan,August,8,1953
Rajasthan,September,9,2179
Rajasthan,October,10,2147
Rajasthan,November,11,2020
Rajasthan,December,12,1842
Sikkim,January,1,17
Sikkim,February,2,12
Sikkim,March,3,11
Sikkim,April,4,18
Sikkim,May,5,13
Sikkim,June,6,14
Sikkim,July,7,14
Sikkim,August,8,17
Sikkim,September,9,13
Sikkim,October,10,13
Sikkim,November,11,15
Sikkim,December,12,17
Tamil Nadu,January,1,6024
Tamil Nadu,February,2,5301
Tamil Nadu,March,3,5468
Tamil Nadu,April,4,5661
Tamil Nadu,May,5,5811
Tamil Nadu,June,6,5620
Tamil Nadu,July,7,5709
Tamil Nadu,August,8,6070
Tamil Nadu,September,9,5484
Tamil Nadu,October,10,5644
Tamil Nadu,November,11,5369
Tamil Nadu,December,12,5052
Telangana,January,1,1835
Telangana,February,2,1770
Telangana,March,3,1854
Telangana,April,4,1866
Telangana,May,5,2186
Telangana,June,6,2082
Telangana,July,7,1725
Telangana,August,8,1832
Telangana,September,9,1766
Telangana,October,10,1882
Telangana,November,11,1904
Telangana,December,12,2201
Tripura,January,1,42
Tripura,February,2,36
Tripura,March,3,48
Tripura,April,4,48
Tripura,May,5,47
Tripura,June,6,53
Tripura,July,7,50
Tripura,August,8,53
Tripura,September,9,40
Tripura,October,10,42
Tripura,November,11,55
Tripura,December,12,63
Uttar Pradesh,January,1,3777
Uttar Pradesh,February,2,3290
Uttar Pradesh,March,3,3129
Uttar Pradesh,April,4,2740
Uttar Pradesh,May,5,3183
Uttar Pradesh,June,6,3132
Uttar Pradesh,July,7,2867
Uttar Pradesh,August,8,2945
Uttar Pradesh,September,9,2672
Uttar Pradesh,October,10,2914
Uttar Pradesh,November,11,3332
Uttar Pradesh,December,12,3783
Uttarakhand,January,1,126
Uttarakhand,February,2,118
Uttarakhand,March,3,118
Uttarakhand,April,4,150
Uttarakhand,May,5,180
Uttarakhand,June,6,148
Uttarakhand,July,7,140
Uttarakhand,August,8,125
Uttarakhand,September,9,119
Uttarakhand,October,10,149
Uttarakhand,November,11,147
Uttarakhand,December,12,171
West Bengal,January,1,909
West Bengal,February,2,811
West Bengal,March,3,890
West Bengal,April,4,783
West Bengal,May,5,906
West Bengal,June,6,864
West Bengal,July,7,794
West Bengal,August,8,880
West Bengal,September,9,852
West Bengal,October,10,910
West Bengal,November,11,889
West Bengal,December,12,912
Total (States),January,1,40522
Total (States),February,2,36923
Total (States),March,3,37840
Total (States),April,4,36556
Total (States),May,5,40650
Total (States),June,6,37889
Total (States),July,7,35449
Total (States),August,8,36027
Total (States),September,9,35549
Total (States),October,10,37002
Total (States),November,11,37095
Total (States),December,12,38524
Andaman and Nicobar Islands,January,1,2
Andaman and Nicobar Islands,February,2,4
Andaman and Nicobar Islands,March,3,4
Andaman and Nicobar Islands,April,4,3
Andaman and Nicobar Islands,May,5,1
Andaman and Nicobar Islands,June,6,1
Andaman and Nicobar Islands,July,7,3
Andaman and Nicobar Islands,August,8,2
Andaman and Nicobar Islands,September,9,1
Andaman and Nicobar Islands,October,10,0
Andaman and Nicobar Islands,November,11,2
Andaman and Nicobar Islands,December,12,2
Chandigarh,January,1,15
Chandigarh,February,2,11
Chandigarh,March,3,13
Chandigarh,April,4,15
Chandigarh,May,5,19
Chandigarh,June,6,10
Chandigarh,July,7,17
Chandigarh,August,8,23
Chandigarh,September,9,18
Chandigarh,October,10,10
Chandigarh,November,11,18
Chandigarh,December,12,13
Dadra and Nagar Haveli and Daman and Diu,January,1,16
Dadra and Nagar Haveli and Daman and Diu,February,2,20
Dadra and Nagar Haveli and Daman and Diu,March,3,17
Dadra and Nagar Haveli and Daman and Diu,April,4,15
Dadra and Nagar Haveli and Daman and Diu,May,5,19
Dadra and Nagar Haveli and Daman and Diu,June,6,15
Dadra and Nagar Haveli and Daman and Diu,July,7,8
Dadra and Nagar Haveli and Daman and Diu,August,8,19
Dadra and Nagar Haveli and Daman and Diu,September,9,17
Dadra and Nagar Haveli and Daman and Diu,October,10,13
Dadra and Nagar Haveli and Daman and Diu,November,11,12
Dadra and Nagar Haveli and Daman and Diu,December,12,12
Delhi,January,1,426
Delhi,February,2,433
Delhi,March,3,425
Delhi,April,4,460
Delhi,May,5,488
Delhi,June,6,455
Delhi,July,7,463
Delhi,August,8,523
Delhi,September,9,496
Delhi,October,10,548
Delhi,November,11,476
Delhi,December,12,522
Jammu and Kashmir,January,1,393
Jammu and Kashmir,February,2,443
Jammu and Kashmir,March,3,479
Jammu and Kashmir,April,4,499
Jammu and Kashmir,May,5,563
Jammu and Kashmir,June,6,595
Jammu and Kashmir,July,7,588
Jammu and Kashmir,August,8,610
Jammu and Kashmir,September,9,551
Jammu and Kashmir,October,10,598
Jammu and Kashmir,November,11,580
Jammu and Kashmir,December,12,401
Ladakh,January,1,8
Ladakh,February,2,7
Ladakh,March,3,11
Ladakh,April,4,22
Ladakh,May,5,30
Ladakh,June,6,43
Ladakh,July,7,37
Ladakh,August,8,30
Ladakh,September,9,33
Ladakh,October,10,28
Ladakh,November,11,28
Ladakh,December,12,12
Lakshadweep,January,1,0
Lakshadweep,February,2,0
Lakshadweep,March,3,0
Lakshadweep,April,4,0
Lakshadweep,May,5,0
Lakshadweep,June,6,0
Lakshadweep,July,7,0
Lakshadweep,August,8,0
Lakshadweep,September,9,0
Lakshadweep,October,10,0
Lakshadweep,November,11,1
Lakshadweep,December,12,0
Puducherry,January,1,117
Puducherry,February,2,103
Puducherry,March,3,123
Puducherry,April,4,106
Puducherry,May,5,121
Puducherry,June,6,113
Puducherry,July,7,111
Puducherry,August,8,105
Puducherry,September,9,114
Puducherry,October,10,98
Puducherry,November,11,92
Puducherry,December,12,105
Total (UTs),January,1,977
Total (UTs),February,2,1021
Total (UTs),March,3,1072
Total (UTs),April,4,1120
Total (UTs),May,5,1241
Total (UTs),June,6,1232
Total (UTs),July,7,1227
Total (UTs),August,8,1312
Total (UTs),September,9,1230
Total (UTs),October,10,1295
Total (UTs),November,11,1209
Total (UTs),December,12,1067
Total (All India),January,1,41499
Total (All India),February,2,37944
Total (All India),March,3,38912
Total (All India),April,4,37676
Total (All India),May,5,41891
Total (All India),June,6,39121
Total (All India),July,7,36676
Total (All India),August,8,37339
Total (All India),September,9,36779
Total (All India),October,10,38297
Total (All India),November,11,38304
Total (All India),December,12,39591
Agra,January,1,39
Agra,February,2,47
Agra,March,3,58
Agra,April,4,35
Agra,May,5,45
Agra,June,6,60
Agra,July,7,45
Agra,August,8,32
Agra,September,9,37
Agra,October,10,45
Agra,November,11,47
Agra,December,12,63
Ahmedabad,January,1,177
Ahmedabad,February,2,120
Ahmedabad,March,3,158
Ahmedabad,April,4,154
Ahmedabad,May,5,141
Ahmedabad,June,6,134
Ahmedabad,July,7,139
Ahmedabad,August,8,139
Ahmedabad,September,9,154
Ahmedabad,October,10,151
Ahmedabad,November,11,129
Ahmedabad,December,12,171
Amritsar,January,1,9
Amritsar,February,2,8
Amritsar,March,3,15
Amritsar,April,4,9
Amritsar,May,5,12
Amritsar,June,6,21
Amritsar,July,7,14
Amritsar,August,8,12
Amritsar,September,9,16
Amritsar,October,10,15
Amritsar,November,11,11
Amritsar,December,12,5
Asansol,January,1,39
Asansol,February,2,29
Asansol,March,3,39
Asansol,April,4,27
Asansol,May,5,39
Asansol,June,6,37
Asansol,July,7,24
Asansol,August,8,36
Asansol,September,9,36
Asansol,October,10,32
Asansol,November,11,35
Asansol,December,12,28
Aurangabad,January,1,36
Aurangabad,February,2,44
Aurangabad,March,3,42
Aurangabad,April,4,45
Aurangabad,May,5,75
Aurangabad,June,6,40
Aurangabad,July,7,55
Aurangabad,August,8,55
Aurangabad,September,9,49
Aurangabad,October,10,43
Aurangabad,November,11,38
Aurangabad,December,12,38
Bengaluru,January,1,431
Bengaluru,February,2,369
Bengaluru,March,3,396
Bengaluru,April,4,357
Bengaluru,May,5,375
Bengaluru,June,6,426
Bengaluru,July,7,436
Bengaluru,August,8,457
Bengaluru,September,9,458
Bengaluru,October,10,391
Bengaluru,November,11,400
Bengaluru,December,12,484
Bhopal,January,1,254
Bhopal,February,2,265
Bhopal,March,3,227
Bhopal,April,4,213
Bhopal,May,5,281
Bhopal,June,6,273
Bhopal,July,7,238
Bhopal,August,8,242
Bhopal,September,9,246
Bhopal,October,10,259
Bhopal,November,11,218
Bhopal,December,12,190
Chandigarh (City),January,1,15
Chandigarh (City),February,2,11
Chandigarh (City),March,3,13
Chandigarh (City),April,4,15
Chandigarh (City),May,5,19
Chandigarh (City),June,6,10
Chandigarh (City),July,7,17
Chandigarh (City),August,8,23
Chandigarh (City),September,9,18
Chandigarh (City),October,10,10
Chandigarh (City),November,11,18
Chandigarh (City),December,12,13
Chennai,January,1,302
Chennai,February,2,313
Chennai,March,3,314
Chennai,April,4,300
Chennai,May,5,315
Chennai,June,6,287
Chennai,July,7,363
Chennai,August,8,333
Chennai,September,9,322
Chennai,October,10,308
Chennai,November,11,254
Chennai,December,12,242
Coimbatore,January,1,90
Coimbatore,February,2,91
Coimbatore,March,3,95
Coimbatore,April,4,124
Coimbatore,May,5,96
Coimbatore,June,6,83
Coimbatore,July,7,114
Coimbatore,August,8,95
Coimbatore,September,9,100
