State,TimeDimension,Accidents,DataType,Period,DayNight,TimeOrder
Jharkhand,03:00-06:00,314,TimeSlot,03:00-06:00,Night,1
Jharkhand,06:00-09:00,617,TimeSlot,06:00-09:00,Day,2
Jharkhand,09:00-12:00,700,TimeSlot,09:00-12:00,Day,3
Jharkhand,12:00-15:00,824,TimeSlot,12:00-15:00,Day,4
Jharkhand,15:00-18:00,982,TimeSlot,15:00-18:00,Day,5
Jharkhand,18:00-21:00,1111,TimeSlot,18:00-21:00,Night,6
Jharkhand,21:00-24:00,464,TimeSlot,21:00-24:00,Night,7
Karnataka,00:00-03:00,2312,TimeSlot,00:00-03:00,Night,0
Karnataka,03:00-06:00,2370,TimeSlot,03:00-06:00,Night,1
Karnataka,06:00-09:00,4005,TimeSlot,06:00-09:00,Day,2
Karnataka,09:00-12:00,5908,TimeSlot,09:00-12:00,Day,3
Karnataka,12:00-15:00,6706,TimeSlot,12:00-15:00,Day,4
Karnataka,15:00-18:00,7545,TimeSlot,15:00-18:00,Day,5
Karnataka,18:00-21:00,9265,TimeSlot,18:00-21:00,Night,6
Karnataka,21:00-24:00,5328,TimeSlot,21:00-24:00,Night,7
Kerala,00:00-03:00,1103,TimeSlot,00:00-03:00,Night,0
Kerala,03:00-06:00,1495,TimeSlot,03:00-06:00,Night,1
Kerala,06:00-09:00,5411,TimeSlot,06:00-09:00,Day,2
Kerala,09:00-12:00,8282,TimeSlot,09:00-12:00,Day,3
Kerala,12:00-15:00,7063,TimeSlot,12:00-15:00,Day,4
Kerala,15:00-18:00,8937,TimeSlot,15:00-18:00,Day,5
Kerala,18:00-21:00,9542,TimeSlot,18:00-21:00,Night,6
Kerala,21:00-24:00,4148,TimeSlot,21:00-24:00,Night,7
Madhya Pradesh,00:00-03:00,3330,TimeSlot,00:00-03:00,Night,0
Madhya Pradesh,03:00-06:00,2714,TimeSlot,03:00-06:00,Night,1
Madhya Pradesh,06:00-09:00,4468,TimeSlot,06:00-09:00,Day,2
Madhya Pradesh,09:00-12:00,7476,TimeSlot,09:00-12:00,Day,3
Madhya Pradesh,12:00-15:00,9217,TimeSlot,12:00-15:00,Day,4
Madhya Pradesh,15:00-18:00,10227,TimeSlot,15:00-18:00,Day,5
Madhya Pradesh,18:00-21:00,10613,TimeSlot,18:00-21:00,Night,6
Madhya Pradesh,21:00-24:00,6718,TimeSlot,21:00-24:00,Night,7
Maharashtra,00:00-03:00,2065,TimeSlot,00:00-03:00,Night,0
Maharashtra,03:00-06:00,2000,TimeSlot,03:00-06:00,Night,1
Maharashtra,06:00-09:00,3005,TimeSlot,06:00-09:00,Day,2
Maharashtra,09:00-12:00,4288,TimeSlot,09:00-12:00,Day,3
Maharashtra,12:00-15:00,4612,TimeSlot,12:00-15:00,Day,4
Maharashtra,15:00-18:00,4892,TimeSlot,15:00-18:00,Day,5
Maharashtra,18:00-21:00,6368,TimeSlot,18:00-21:00,Night,6
Maharashtra,21:00-24:00,4117,TimeSlot,21:00-24:00,Night,7
Manipur,00:00-03:00,12,TimeSlot,00:00-03:00,Night,0
Manipur,03:00-06:00,5,TimeSlot,03:00-06:00,Night,1
Manipur,06:00-09:00,27,TimeSlot,06:00-09:00,Day,2
Manipur,09:00-12:00,50,TimeSlot,09:00-12:00,Day,3
Manipur,12:00-15:00,58,TimeSlot,12:00-15:00,Day,4
Manipur,15:00-18:00,90,TimeSlot,15:00-18:00,Day,5
Manipur,18:00-21:00,113,TimeSlot,18:00-21:00,Night,6
Manipur,21:00-24:00,43,TimeSlot,21:00-24:00,Night,7
Meghalaya,00:00-03:00,11,TimeSlot,00:00-03:00,Night,0
Meghalaya,03:00-06:00,10,TimeSlot,03:00-06:00,Night,1
Meghalaya,06:00-09:00,20,TimeSlot,06:00-09:00,Day,2
Meghalaya,09:00-12:00,39,TimeSlot,09:00-12:00,Day,3
Meghalaya,12:00-15:00,32,TimeSlot,12:00-15:00,Day,4
Meghalaya,15:00-18:00,48,TimeSlot,15:00-18:00,Day,5
Meghalaya,18:00-21:00,46,TimeSlot,18:00-21:00,Night,6
Meghalaya,21:00-24:00,26,TimeSlot,21:00-24:00,Night,7
Mizoram,00:00-03:00,4,TimeSlot,00:00-03:00,Night,0
Mizoram,03:00-06:00,3,TimeSlot,03:00-06:00,Night,1
Mizoram,06:00-09:00,4,TimeSlot,06:00-09:00,Day,2
Mizoram,09:00-12:00,6,TimeSlot,09:00-12:00,Day,3
Mizoram,12:00-15:00,4,TimeSlot,12:00-15:00,Day,4
Mizoram,15:00-18:00,12,TimeSlot,15:00-18:00,Day,5
Mizoram,18:00-21:00,9,TimeSlot,18:00-21:00,Night,6
